Announcement Date,Parent Company,Company,Facility Name,Phase,City,State,Manufacturing Focus,Component Category,EV/Battery Production,Announcement Effective Year,Existing Union?,Announced EV Investment,Announced EV Jobs,Congressional District,30D Eligible (Defunct),Federal Funding Received,Federal Program,Source,Address,latitude,longitude
5/28/26,EVelution Energy,EVelution Energy,Cobalt Processing Facility,Update,Tacna,AZ,Medium-Duty (Class 3-6),Cobalt,Planned,2029,No Evidence,NA,NA,NA,No Evidence,NA,None,https://www.businesswire.com/news/home/20260528333529/en/EVelution-Energy-Receives-Letter-of-Interest-From-Finnvera-for-up-to-US%2470-Million-in-Export-Credit-Support-for-U.S.-Cobalt-Processing-Facility,"Cobalt Processing Facility, Tacna, AZ",32.70002,-113.953316
5/22/26,Microporous,Microporous,Microporous Virginia Manufacturing Facility,Update,Danville,VA,Batteries,Separators,Under Construction,2027,No Evidence,"$125,000,000",-107,VA05,No Evidence,NA,Advanced Energy Manufacturing and Recycling Program,https://www.wsls.com/news/local/2026/05/22/microporous-groundbreaking-pittsylvania/,"Microporous Virginia Manufacturing Facility, Danville, VA",36.586168,-79.3952367
4/30/26,Rivian,Rivian,Georgia Manufacturing Plant,Update,Social Circle,GA,Light-Duty (Class 1-2),Vehicle Assembly,Under Construction,2028,No Evidence,"($1,567,000,000)",NA,GA10,Good Evidence,"($2,067,000,000)",Loan Programs Office (LPO),https://www.cnbc.com/2026/04/30/rivian-renegotiates-doe-loan-adjusts-capacity-plans-for-georgia-plant.html,"Georgia Manufacturing Plant, Social Circle, GA",33.656194,-83.718567
4/23/26,Slate Auto,Slate Auto,Truck Manufacturing Facility,Update,Warsaw,IN,Light-Duty (Class 1-2),Vehicle Assembly,Under Construction,2026,No Evidence,"$287,000,000",NA,IN02,No Evidence,NA,None,https://www.wndu.com/2026/04/23/slate-auto-raises-650m-electric-truck-production-warsaw/,"Truck Manufacturing Facility, Warsaw, IN",41.235151,-85.856639
4/3/26,Cummins,Accelera,Amplify Battery Manufacturing Facility (JV),Update,Byhalia,MS,Batteries,Cells,Under Construction,2026,No Evidence,NA,-22,NA,No Evidence,$0,None,https://wreg.com/news/local/byhalia-vehicle-battery-manufacturer-laying-off-73-workers/,"Amplify Battery Manufacturing Facility (JV), Byhalia, MS",34.868098,-89.688647
4/3/26,Daimler Truck,Daimler Truck,Amplify Battery Manufacturing Facility (JV),Update,Byhalia,MS,Batteries,Cells,Under Construction,2026,No Evidence,NA,-22,NA,No Evidence,$0,None,https://wreg.com/news/local/byhalia-vehicle-battery-manufacturer-laying-off-73-workers/,"Amplify Battery Manufacturing Facility (JV), Byhalia, MS",34.868098,-89.688647
4/3/26,EVE Energy,EVE Energy,Amplify Battery Manufacturing Facility (JV),Update,Byhalia,MS,Batteries,Cells,Under Construction,2026,No Evidence,NA,-7,NA,No Evidence,$0,None,https://wreg.com/news/local/byhalia-vehicle-battery-manufacturer-laying-off-73-workers/,"Amplify Battery Manufacturing Facility (JV), Byhalia, MS",34.868098,-89.688647
4/3/26,Paccar,Paccar,Amplify Battery Manufacturing Facility (JV),Update,Byhalia,MS,Batteries,Cells,Under Construction,2026,No Evidence,NA,-22,NA,No Evidence,$0,None,https://wreg.com/news/local/byhalia-vehicle-battery-manufacturer-laying-off-73-workers/,"Amplify Battery Manufacturing Facility (JV), Byhalia, MS",34.868098,-89.688647
4/3/26,Tesla,Tesla,Gigafactory 5,Update,Austin,TX,Multiple Classes,Vehicle Assembly,Operational,2026,No Evidence,"$600,000,000",-806,TX35,Good Evidence,$0,None,https://techcrunch.com/2026/04/03/teslas-texas-factory-workforce-reportedly-shrunk-22-in-2025/,"Gigafactory 5, Austin, TX",30.264979,-97.746598
3/29/26,EnergyX,EnergyX,Project Lonestar Lithium,Original,Hooks,TX,Minerals,Lithium Hydroxide,Planned,NA,No Evidence,"$525,000,000",NA,NA,No Evidence,NA,None,https://www.mining.com/site-visit-energyx-launches-first-us-direct-lithium-extraction-plant-in-texas/,"Project Lonestar Lithium, Hooks, TX",33.466225,-94.289233
3/23/26,Toyota Motor Company,Toyota,Toyota Motor Manufacturing Kentucky,Expansion 3,Georgetown,KY,Light-Duty (Class 1-2),Vehicle Assembly,Planned,2026,No Evidence,"$800,000,000",NA,KY06,No Evidence,NA,None,https://pressroom.toyota.com/driven-by-people-powering-the-future/,"Toyota Motor Manufacturing Kentucky, Georgetown, KY",38.25752,-84.547617
3/19/26,VinGroup,VinFast,Chatham County Facility,Update,Moncure,NC,Batteries,Cells; Modules; Packs,Under Construction,2028,No Evidence,NA,-3050,NC04,No Evidence,$0,None,https://spectrumlocalnews.com/nc/charlotte/news/2026/03/18/vinfast-cuts-jobs-to-1-400-from-7-500--resumes-construction-this-year,"Chatham County Facility, Moncure, NC",35.622969,-79.076953
3/19/26,VinGroup,VinFast,Chatham County Facility,Update,Moncure,NC,Multiple Classes,Vehicle Assembly,Under Construction,2028,No Evidence,NA,-3050,NC04,No Evidence,$0,None,https://spectrumlocalnews.com/nc/charlotte/news/2026/03/18/vinfast-cuts-jobs-to-1-400-from-7-500--resumes-construction-this-year,"Chatham County Facility, Moncure, NC",35.622969,-79.076953
3/14/26,Honda Motor Company,Honda,East Liberty Auto Plant,Update,East Liberty,OH,Light-Duty (Class 1-2),Vehicle Assembly,Canceled,2026,No Evidence,"($400,000,000)",-133,OH04,Good Evidence,$0,None,https://www.dispatch.com/story/business/automotive/2026/03/14/honda-electric-vehicles-ev-planned-ohio-production-hit-roadblock/89136283007/,"East Liberty Auto Plant, East Liberty, OH",40.326752,-82.817043
3/14/26,Honda Motor Company,Honda,Marysville Auto Plant,Update,Marysville,OH,Light-Duty (Class 1-2),Vehicle Assembly,Canceled,2026,No Evidence,"($400,000,000)",-433,OH04,Good Evidence,$0,None,https://www.dispatch.com/story/business/automotive/2026/03/14/honda-electric-vehicles-ev-planned-ohio-production-hit-roadblock/89136283007/,"Marysville Auto Plant, Marysville, OH",40.2767,-83.507149
3/6/26,SK,SK On,Commerce Battery Plant,Update,Commerce,GA,Batteries,Cells; Modules; Packs,Operational,2026,No Evidence,NA,-958,GA10,No Evidence,$0,None,https://apnews.com/article/georgia-electric-vehicle-battery-manufacturing-layoffs-workers-79a4ec7a5b7f2816f64033f8b3d4898d,"Commerce Battery Plant, Commerce, GA",42.59114,-83.49077
2/18/26,Volkswagen Group,Scout Motors,Blythewood Facility,Update,Columbia,SC,Light-Duty (Class 1-2),Vehicle Assembly,Under Construction,2028,No Evidence,NA,NA,SC02,No Evidence,$0,None,https://www.electrive.com/2026/02/18/vws-u-s-scout-comeback-reportedly-delayed-to-mid-2028/,"Blythewood Facility, Columbia, SC",34.215166,-80.973608
2/6/26,Element3 Resources,Element3 Resources,Element3 Resources Permian Basin,Original,Midland,TX,Minerals,Lithium Carbonate,Operational,2026,No Evidence,NA,NA,TX11,No Evidence,$0,None,https://gov.texas.gov/news/post/governor-abbott-cuts-ribbon-at-element3-lithium-extraction-facility,"Element3 Resources Permian Basin, Midland, TX",32.000867,-101.94044
2/3/26,Aqua Metals,Aqua Metals,ABF Recycling Plant,Original,Tucson,AZ,Battery Recycling,Recycling,Planned,2028,No Evidence,NA,NA,NA,No Evidence,$0,None,https://www.globenewswire.com/news-release/2026/02/03/3231007/36806/en/Aqua-Metals-and-American-Battery-Factory-Announce-Proposed-Strategic-Collaboration-to-Advance-Domestic-Circular-Supply-of-Battery-Materials.html,"ABF Recycling Plant, Tucson, AZ",32.221878,-110.971225
